id,title,description,fileUrl,fileSize,category,accessLevel,uploadedBy,createdAt,updatedAt
1,Stadgar 2025,Stadgar för Kamratförening Gamla Södertälje Sport Klubb,https://d2xsxph8kpxj0f.cloudfront.net/310519663190391162/3s6xzpMc8tmVJaMYJmKG5e/documents/1763155606368-Gamla SSK Stadgar (1).pdf,2905610,stadgar,public,1,2025-11-14 21:26:46,2025-11-14 21:26:46
30001,Protokoll Styrelsemöte 13 November 2025,,https://d2xsxph8kpxj0f.cloudfront.net/310519663190391162/3s6xzpMc8tmVJaMYJmKG5e/documents/1763370552859-Protokoll Nov 13 2025.pdf,27116,protokoll,public,1,2025-11-17 09:09:13,2025-11-17 09:09:13
